radius,rho,vpv,vsv,qka,qmu,vph,vsh,eta
0.00000,7200,5485.67157,0.00000,57822.00000,777.90000,5485.67157,0.00000,1.00000
34237.37374,7200,5485.67157,0.00000,57822.00000,771.05253,5485.67157,0.00000,1.00000
68474.74747,7200,5485.67157,0.00000,57822.00000,764.20505,5485.67157,0.00000,1.00000
102712.12121,7200,5485.67157,0.00000,57822.00000,757.35758,5485.67157,0.00000,1.00000
136949.49495,7200,5485.67157,0.00000,57822.00000,750.51010,5485.67157,0.00000,1.00000
171186.86869,7200,5485.67157,0.00000,57822.00000,743.66263,5485.67157,0.00000,1.00000
205424.24242,7200,5485.67157,0.00000,57822.00000,736.81515,5485.67157,0.00000,1.00000
239661.61616,7200,5485.67157,0.00000,57822.00000,729.96768,5485.67157,0.00000,1.00000
273898.98990,7200,5485.67157,0.00000,57822.00000,723.12020,5485.67157,0.00000,1.00000
308136.36364,7200,5485.67157,0.00000,57822.00000,716.27273,5485.67157,0.00000,1.00000
342373.73737,7200,5485.67157,0.00000,57822.00000,709.42525,5485.67157,0.00000,1.00000
376611.11111,7200,5485.67157,0.00000,57822.00000,702.57778,5485.67157,0.00000,1.00000
410848.48485,7200,5485.67157,0.00000,57822.00000,695.73030,5485.67157,0.00000,1.00000
445085.85859,7200,5485.67157,0.00000,57822.00000,688.88283,5485.67157,0.00000,1.00000
479323.23232,7200,5485.67157,0.00000,57822.00000,682.03535,5485.67157,0.00000,1.00000
513560.60606,7200,5485.67157,0.00000,57822.00000,675.18788,5485.67157,0.00000,1.00000
547797.97980,7200,5485.67157,0.00000,57822.00000,668.34040,5485.67157,0.00000,1.00000
582035.35354,7200,5485.67157,0.00000,57822.00000,661.49293,5485.67157,0.00000,1.00000
616272.72727,7200,5485.67157,0.00000,57822.00000,654.64545,5485.67157,0.00000,1.00000
650510.10101,7200,5485.67157,0.00000,57822.00000,647.79798,5485.67157,0.00000,1.00000
684747.47475,7200,5485.67157,0.00000,57822.00000,640.95051,5485.67157,0.00000,1.00000
718984.84848,7200,5485.67157,0.00000,57822.00000,634.10303,5485.67157,0.00000,1.00000
753222.22222,7200,5485.67157,0.00000,57822.00000,627.25556,5485.67157,0.00000,1.00000
787459.59596,7200,5485.67157,0.00000,57822.00000,620.40808,5485.67157,0.00000,1.00000
821696.96970,7200,5485.67157,0.00000,57822.00000,613.56061,5485.67157,0.00000,1.00000
855934.34343,7200,5485.67157,0.00000,57822.00000,606.71313,5485.67157,0.00000,1.00000
890171.71717,7200,5485.67157,0.00000,57822.00000,599.86566,5485.67157,0.00000,1.00000
924409.09091,7200,5485.67157,0.00000,57822.00000,593.01818,5485.67157,0.00000,1.00000
958646.46465,7200,5485.67157,0.00000,57822.00000,586.17071,5485.67157,0.00000,1.00000
992883.83838,7200,5485.67157,0.00000,57822.00000,579.32323,5485.67157,0.00000,1.00000
1027121.21212,7200,5485.67157,0.00000,57822.00000,572.47576,5485.67157,0.00000,1.00000
1061358.58586,7200,5485.67157,0.00000,57822.00000,565.62828,5485.67157,0.00000,1.00000
1095595.95960,7200,5485.67157,0.00000,57822.00000,558.78081,5485.67157,0.00000,1.00000
1129833.33333,7200,5485.67157,0.00000,57822.00000,551.93333,5485.67157,0.00000,1.00000
1164070.70707,7200,5485.67157,0.00000,57822.00000,545.08586,5485.67157,0.00000,1.00000
1198308.08081,7200,5485.67157,0.00000,57822.00000,538.23838,5485.67157,0.00000,1.00000
1232545.45455,7200,5485.67157,0.00000,57822.00000,531.39091,5485.67157,0.00000,1.00000
1266782.82828,7200,5485.67157,0.00000,57822.00000,524.54343,5485.67157,0.00000,1.00000
1301020.20202,7200,5485.67157,0.00000,57822.00000,517.69596,5485.67157,0.00000,1.00000
1335257.57576,7200,5485.67157,0.00000,57822.00000,510.84848,5485.67157,0.00000,1.00000
1369494.94949,7200,5485.67157,0.00000,57822.00000,504.00101,5485.67157,0.00000,1.00000
1403732.32323,7200,5485.67157,0.00000,57822.00000,497.15354,5485.67157,0.00000,1.00000
1437969.69697,7200,5485.67157,0.00000,57822.00000,490.30606,5485.67157,0.00000,1.00000
1472207.07071,7200,5485.67157,0.00000,57822.00000,483.45859,5485.67157,0.00000,1.00000
1506444.44444,7200,5485.67157,0.00000,57822.00000,476.61111,5485.67157,0.00000,1.00000
1540681.81818,7200,5485.67157,0.00000,57822.00000,469.76364,5485.67157,0.00000,1.00000
1574919.19192,7200,5485.67157,0.00000,57822.00000,462.91616,5485.67157,0.00000,1.00000
1609156.56566,7200,5485.67157,0.00000,57822.00000,456.06869,5485.67157,0.00000,1.00000
1643393.93939,7200,5485.67157,0.00000,57822.00000,449.22121,5485.67157,0.00000,1.00000
1677631.31313,7200,5485.67157,0.00000,57822.00000,442.37374,5485.67157,0.00000,1.00000
1711868.68687,3200,6123.72436,3061.86218,57822.00000,435.52626,6123.72436,3061.86218,1.00000
1746106.06061,3200,6123.72436,3061.86218,57822.00000,428.67879,6123.72436,3061.86218,1.00000
1780343.43434,3700,6437.50273,3287.97975,57822.00000,421.83131,6437.50273,3287.97975,1.00000
1814580.80808,3700,6437.50273,3287.97975,57822.00000,414.98384,6437.50273,3287.97975,1.00000
1848818.18182,3700,6437.50273,3287.97975,57822.00000,408.13636,6437.50273,3287.97975,1.00000
1883055.55556,3700,6437.50273,3287.97975,57822.00000,401.28889,6437.50273,3287.97975,1.00000
1917292.92929,3700,6437.50273,3287.97975,57822.00000,394.44141,6437.50273,3287.97975,1.00000
1951530.30303,3700,6437.50273,3287.97975,57822.00000,387.59394,6437.50273,3287.97975,1.00000
1985767.67677,3700,6437.50273,3287.97975,57822.00000,380.74646,6437.50273,3287.97975,1.00000
2020005.05051,3700,6437.50273,3287.97975,57822.00000,373.89899,6437.50273,3287.97975,1.00000
2054242.42424,3700,6437.50273,3287.97975,57822.00000,367.05152,6437.50273,3287.97975,1.00000
2088479.79798,3700,6437.50273,3287.97975,57822.00000,360.20404,6437.50273,3287.97975,1.00000
2122717.17172,3700,6437.50273,3287.97975,57822.00000,353.35657,6437.50273,3287.97975,1.00000
2156954.54545,3700,6437.50273,3287.97975,57822.00000,346.50909,6437.50273,3287.97975,1.00000
2191191.91919,3700,6437.50273,3287.97975,57822.00000,339.66162,6437.50273,3287.97975,1.00000
2225429.29293,3700,6437.50273,3287.97975,57822.00000,332.81414,6437.50273,3287.97975,1.00000
2259666.66667,3700,6437.50273,3287.97975,57822.00000,325.96667,6437.50273,3287.97975,1.00000
2293904.04040,3700,6437.50273,3287.97975,57822.00000,319.11919,6437.50273,3287.97975,1.00000
2328141.41414,3700,6437.50273,3287.97975,57822.00000,312.27172,6437.50273,3287.97975,1.00000
2362378.78788,3700,6437.50273,3287.97975,57822.00000,305.42424,6437.50273,3287.97975,1.00000
2396616.16162,3700,6437.50273,3287.97975,57822.00000,298.57677,6437.50273,3287.97975,1.00000
2430853.53535,3700,6437.50273,3287.97975,57822.00000,291.72929,6437.50273,3287.97975,1.00000
2465090.90909,3700,6437.50273,3287.97975,57822.00000,284.88182,6437.50273,3287.97975,1.00000
2499328.28283,3700,6437.50273,3287.97975,57822.00000,278.03434,6437.50273,3287.97975,1.00000
2533565.65657,3700,6437.50273,3287.97975,57822.00000,271.18687,6437.50273,3287.97975,1.00000
2567803.03030,3700,6437.50273,3287.97975,57822.00000,264.33939,6437.50273,3287.97975,1.00000
2602040.40404,3700,6437.50273,3287.97975,57822.00000,257.49192,6437.50273,3287.97975,1.00000
2636277.77778,3700,6437.50273,3287.97975,57822.00000,250.64444,6437.50273,3287.97975,1.00000
2670515.15152,3700,6437.50273,3287.97975,57822.00000,243.79697,6437.50273,3287.97975,1.00000
2704752.52525,3700,6437.50273,3287.97975,57822.00000,236.94949,6437.50273,3287.97975,1.00000
2738989.89899,3700,6437.50273,3287.97975,57822.00000,230.10202,6437.50273,3287.97975,1.00000
2773227.27273,3700,6437.50273,3287.97975,57822.00000,223.25455,6437.50273,3287.97975,1.00000
2807464.64646,3700,6437.50273,3287.97975,57822.00000,216.40707,6437.50273,3287.97975,1.00000
2841702.02020,3700,6437.50273,3287.97975,57822.00000,209.55960,6437.50273,3287.97975,1.00000
2875939.39394,3700,6437.50273,3287.97975,57822.00000,202.71212,6437.50273,3287.97975,1.00000
2910176.76768,3700,6437.50273,3287.97975,57822.00000,195.86465,6437.50273,3287.97975,1.00000
2944414.14141,3700,6437.50273,3287.97975,57822.00000,189.01717,6437.50273,3287.97975,1.00000
2978651.51515,3700,6437.50273,3287.97975,57822.00000,182.16970,6437.50273,3287.97975,1.00000
3012888.88889,3700,6437.50273,3287.97975,57822.00000,175.32222,6437.50273,3287.97975,1.00000
3047126.26263,3700,6437.50273,3287.97975,57822.00000,168.47475,6437.50273,3287.97975,1.00000
3081363.63636,3700,6437.50273,3287.97975,57822.00000,161.62727,6437.50273,3287.97975,1.00000
3115601.01010,3700,6437.50273,3287.97975,57822.00000,154.77980,6437.50273,3287.97975,1.00000
3149838.38384,3700,6437.50273,3287.97975,57822.00000,147.93232,6437.50273,3287.97975,1.00000
3184075.75758,3700,6437.50273,3287.97975,57822.00000,141.08485,6437.50273,3287.97975,1.00000
3218313.13131,3700,6437.50273,3287.97975,57822.00000,134.23737,6437.50273,3287.97975,1.00000
3252550.50505,3700,6437.50273,3287.97975,57822.00000,127.38990,6437.50273,3287.97975,1.00000
3286787.87879,3700,6437.50273,3287.97975,57822.00000,120.54242,6437.50273,3287.97975,1.00000
3321025.25253,3700,6437.50273,3287.97975,57822.00000,113.69495,6437.50273,3287.97975,1.00000
3355262.62626,3700,6437.50273,3287.97975,57822.00000,106.84747,6437.50273,3287.97975,1.00000
3389500.00000,3700,6437.50273,3287.97975,57822.00000,100.00000,6437.50273,3287.97975,1.00000
